cleaned_comment,translate
"yg gelap tu otak mahasewa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"di depan mecerminkan mahasiswatetapi prbuatanmu cermin mahasewa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"dasar bukan mahasiswa tapi mahasewa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kalo mahasiswa intelektual tuju ndasmu pinter ngeles kyak dosenya","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kamu mahasewa mahasiswa rakyat jahat","terjemahkan id ke en: kamu mahasewa jahat terjemahkan id ke en"
"kami rakyat buruh tani tani sajabrkalian ribut demo brkami adem adem sajadan onar nkri orang","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"maha siswa wan","ajarkan terjemahkan id ke en: maha siswa wan wan terjemahkan id"
"mahasewa 40ribuan","terjemahkan id ke en: mahasewa 40ribuan terjemahkan id ke"
"sebut belas menmjadi tuntutantahu nggak anggar pangkas percaya dg tri uang anggar didik td utik atik gagal paham saran sy ajar ajak dg fokus org berik","ajar ajar ajar ajar ajar a"
"gerombol sakit hati provokator bemmahasiswawi ngomong kerjaselalu salah program presiden bpkhprabowo kabinet merah putih umur jagungbelum maksimal coba pikir emang urus bangsa mudah balik telapak tanganquotsim salabimtukang sulapanehnya lgi kala kpk lgi tangkap koruptor","id ke en: gerombol kan id ke en: gerombolkan"
"seperti mulut perempuan bilang presiden anjing pikir hebat mata buta","terjemahkan id ke en: seperti mulut perempuan bilangkan id ke en: seperti mulut"
"wakil rakyat mn mahasewaaku jg rakyat tp gk wakil dngn demo","terjemahkan id ke en: wakil rakyat terjemahkan id ke en: wakil rakyat"
"yg gelap pikir tindak bro","aja aja bro aja bro...."
"mata mahasiswa picik bilang gelap buta kalianjangan mengatasnamakan rakyat woi nahasewa","terjemahkan id ke en: mata mahasiswa picik terjemahkan id ke en: mata"
"masakbrsaya rakyat wakil demobrjgn bawa2 nama rakyat indonesiabrkalian demomerusak fasilitas umummengganggu aktifitas warga setempatmembuat kotorbuang sampah sembaranganbrapa perilaku mahasiswabrgimana indonesia terang mahasiswa sikap tingkah","terjemahkan id ke en: masakkan id ke en: masakkan id ke"
"kami rakyat indonesia kao mahasiswa wakil tp wakil pdi p","terjemahkan id ke en: terjemahkan id ke en: indonesia indonesia"
"iya mmg mahasiswa tp bquotdisewaquotbbrlihat skrg rakyat dmndmn sdh muak aksi krn aksi dr hendak rakyatyg negri bangun damai aksi2 hambat aktivitas masyarakat umumbrbbasiiiib kalian tuduh rakyat suka aksi tuding iquotbuzzerquotibrsdgkn terima bilang bquotmahasewaquotb aksi quotmurniquot ditunggangibrrakyat hak utk suara hendak suruh bquotbuzzerquotbbrgmn berfikir kau intelek utk sikap sepele dr masyarakat aja sdh pakai diksi sakit rakyat sendiriyaitu bquotdemo tertib susah rakyat beraktivitasquotbbritu masyarakat umumbrpaham kau","id ke en:kan id ke en:kan id ke en:kan id"
"tuntut mu 13brtdk satu demo ttg uu ampas asetjgn jgn dukung koruptor","ampas aset terjemahkan id ke en: terjemahkan id ke en"
"he mahasiswa mata cek gelap mhs bijaksana","terjemahkan id ke en: he mahasiswa mata cek gelap terjemahkan id ke en"
"masa mahasiswa bodoh demo pikir tuntut mahasewa ah","aja ah aja ah terjemahkan id ke en: masa mahasiswa"
"maha setan neng bikin onar hapus beasiswa p presiden","terjemahkan id ke en:kan id ke en:kan id ke en:"
"mahasiswa demo ampas asetbrjangan mahasewa","ampas aset ampas aset ampas aset ampas aset"
"mata mahasiswa demo gelap","aja.... terjemahkan id ke en: terjemahkan"
"otak dangkal ya","aja sih aja aja aja sih"
"kamu mahasiswa mahasewa","terjemahkan id ke en: kamu mahasiswa mahasewawawawawa"
"ukt aman2","aja..."
"nkri harga matirakyat indonesia hrs cerdas jngn asalmau demo dngn mahasiswayg meresahkn klu lgi demo ya mhsswa cuy","id ke en: nkri harga matikan id ke en: nkri harga mati"
"mahasewa gilir tuntut demo untukruu ampas aset ko suara","aja terjemahkan id ke en: mahasewa gilir "
"bmahasewa dancuuuukb","..................."
"memang klian mahasiswa mahasewabagus muka pangkasbelum abdi negeri suka demo bikin macet jalan orang kerjajangan bawa nama masyarakatbawalah nama mahasewa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"tangkap propokator tu","terjemahkan id ke en: tutorial tutorialkan id ke en:kan"
"yg gelap mata mahasiswa nanti tunggu rakyat indonesia pilih 89 milih prabowo demo tanding mahasewa e e mahasiswa hujat presiden tgu rakyat tindak","kan id ke en:kan id ke en:kan id ke en:kan"
"udh simpafi lgi demo","terjemahkan id ke en: terjemahkan id ke en: ke en:"
"kalau logistik nya habis para dana nya lilit hutang pasti demo 2 hiilang sendiri wkwkwkwkwkk modus cui demo perlu anggar contoh beli kaos nasbung korlap angkut gin teriak 2 cape deh lebih baik sekolah yang benar m bikin rusuh saja di jalan","terjemahkan id ke en:kan id ke en:kan id ke en:"
"kaget demo keluar kata2 daerah aman2 aja untung anak selesai kuliah tau ortunya keras kuliah","terjemahkan id ke en: kaget demo keluar kata2 daerahkan id ke en:"
"yang bener mah ya mahasewa aja","aja sih aja sih aja aja"
"yang mahasiswa mahasewa orang wawas luas alias oonbr","terjemahkan id ke en: yang mahasewa terjemahkan id ke en:"
"yang gelap demo terang bnderang ya mudah2an besok terang","terjemahkan id ke en: yang gelap terjemahkan id ke en: yang gelap"
"latih bohong","aja... bohong bohong"
"mereka cuman cari panggung salah jalam","terjemahkan id ke en: mereka cuman cari panggung terjemahkan id ke en"
"hai kl mahasiswa coba demo ttg ampas aset koruptor maha siswa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"aku butuh wakil mahasewa jijik","terjemahkan id ke en: aku butuh wakil mahasewa terjemahkan id ke"
"kalau mahasiswa coba demo korupsi pdip libat rakyat dukung","... dukung rakyat dukung rakyat rakyat dukung rakyat rakyat dukung"
"mahasiswa anjing gonggong rakyat makmur perintah","terjemahkan id ke en: mahasiswa anjing gonggong rakyat makmur perintah perintahkan id"
"anak sak gambreng tugas kuliah eiii nama demobrdan wakil eii demo mahasiswa","terjemahkan id ke en: anak sak gambreng terjemahkan id ke en"
"saya anak mahasiswa anak2x tugas2x ajar ya","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mahasewa malu maluin ema bp nya rumah lg lihat anak nya nga ahklak cm 40 rbu bayar","kan id ke en: mahasewakan id ke en: mahasewakan"
"kami masyarakat gelap",""
"g demoquot"," quot quot quot quot demo"
"kalau mahasiswa bener rakyat klu mahasiswawa susup politikparcok bikin onar korban mahasiswa","mahasiswa terjemahkan id ke en:kan id ke en:kan id ke"
"ayo mahasiswa demo kesah uu ampas aset koruptor","ayo mahasiswa demo kesah uu ayo mahasiswa demo kesah uu "
"ahhh alas biaya mahal","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"mahasiswa mahasewa jaman orde","(asli) ke en: (asli)) ke"
"mahasiswadoboooollllll","llllllllllllllllllllllllllllllllllllll"
"mahasiswa tidak ada gunannnya demodemo bikin macet jalan","terjemahkan id ke en: mahasiswa tidak ada gunanyakan id ke en: mahasiswa"
"lbh pangkas karna org gk moral","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"selagi mahasuswa garang olah olah suci jg adi pegawai asn diam","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"he org ujuk jgn jual rakyat ya","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mahasiswa goblok gue buruh hari nggak indonesia gelap anak gue sekolah gue happy aja gue syukur allah swt","swt. swt. swt swt swt swt"
"ngaku mahasiswa goblok ubunquotbrjangan mengatasnamakan rakyat tollol tollol kamubrbesok demo alas hadap masyarakat","terjemahkan id ke en:kan id ke en:kan id ke en:"
"kami resah kog perintah","terjemahkan id ke en:kan id ke en:kan id ke en:"
"demo loh blunder besok lulus cari kerja jd orang perintah sy orang awam bikin rese anda2 gelap","terjemahkan id ke en: demo lohkan id ke en: demo loh"
"woi mahasewa mobil komando lu pake pdiprakyat lu bawa ngaco lu","id ke en: woikan id ke en: woikan id ke en"
"halaaahhdemonya ngaruh blas"," terjemahkan id ke en: terjemahkan id ke en: "
"vweh kelit lu mahasewa","terjemahkan id ke en: vweh kelit lu mahasewa terjemah"
"mobil komando nya pdip","terjemahkan id ke en: pdip terjemahkan id ke en: pdip "
"kami dukung penuh bijak perintah","terjemahkan id ke en: terjemahkan id ke en:kankan"
"sok pinter mahasewa cerdas manfaat elit politikdemo atas nama rakyatrakyat yg mana lihat tuh luar negeri nama mahasiswa itu sibuk dgn inovasi utk maju bangsabukan demo politik dasar anak dungu dan tolol","terjemahkan id ke en: sok pinter mahasewa cerdaskan id ke"
"mobil merah demo kpk demo mahasiswa","terjemahkan id ke en: mobil merah demo mahasiswa demo mahasiswa demo mahasiswa demo mahasiswa demo mahasiswa"
"masarakat bela rakyat gitu lahhhh","hhhhhhhhhhhhhhhhhhh"
"aku rakyat tdk dukung mahasiswa","aja aja sih dukung mahasiswa"
"ahhhh omdo","aja ahhhhh aja ahhhh a"
"mahasiswa skrg mahasiswa intektul kesini bodoh beril pintar ngmng pintar bayar malu lho muka indonesia depan mrka nnt jd pimpin kacau harus bnr revolusi mental habis2an negara cinta","id ke en: mahasiswa skrg mahasiswa skrg mahasiswa skrg mahasiswa sk"
"yah mahasewa sewa","sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa sewa"
"mahasewa hti nggak akhlak","terjemahkan id ke en: mahasewa hti nggak akhlak nggak akhlak"
"demo2 ndasmu gk sudi sy wakil rakyat sdh pinter skolah trlihat bodoh hnya gelintir tau jalan hidup bnyak minta2 org tua jdi jgn sok paham mimpin negeri","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"ampas aset kenapa nda dari dulu lo demo in brheii mahasewa sontoloyobrbrkelompok banteng sumber masalahbrbrndas ndasmu ini mdas banteng semua","terjemahkan id ke en: ampas asetkan id ke en: a"
"tuh manusia sewa",""
"brkuliah yg pintar buat project didik yg kerenbrbuat teliti demi prestasibrbrmahasewabrbisanya main gamebrnongkrong di cafe brselfie dan sex bebasbrbromongane koyo pinter pinterobrbrjuhhh","id ke en: terjemahkan id ke en: kan id ke en:"
"dasar mahasiswa suka bikin rusuh","(diatas) ke en: terjemahkan id ke en:kan"
"yng gelap yo matamuterus klau bajing pimpin suara suara rakyatdemo pakai etika nggak rusak","terjemahkan id ke en: yng gelap yo matamu terjemahkan id"
"sekali mahasewa tetep mahasewa brkl bener mahasiswademo dong ampas aset negara oleh koruptor","terjemahkan id ke en: terjemahkan id ke en: kan id ke"
"jujur sewa nasi kitak bensinmana","terjemahkan id ke en: jujur terjemahkan id ke en: jujurkan id"
"mahasewa ttp mahasewa mikir koropsi ratus triyun kau diem demokoropsi miskin tuju dpr kau diemjgn bawah2 rakyatrakyat khilafah maksutmupokoknya rakyat tuju mahasewa bikin rusuh nkri","terjemahkan id ke en: mahasewaafahafahafah"
"mahasewa uang orang tua sok tau","sok tau sok tau sok tau sok tau sok tau sok tau "
"klo undang miskin koruptor muncul maka harta koruptor bisa pakai utk atas efisiensibrbrayo demo itu","terjemahkan id ke en:kan id ke en:kan id ke en:"
"otak mahasewa putar jawa doang sana rantau kalimantan papua masih kerja layak usaha tambang tebar justru lulus guru pulau jawa lirik putra daerah","kankan id ke en: terjemahkan id ke en: terjemahkan id ke"
"pret","terjemahkan id ke en: pret"
"mahasewa dungubronh turun bilang gelap ongkos haji rakyat berangkat haji bromr gelap buruh miskin terusbrdhe sda luncur cap gelap uang orang indonesia edar singapura terusbrpagar laut roboh anggap gelap ken laut dikabling2 oligarkbranak sekolah makan sangka gelap anak indonesia cerdas stunting lenyap dr indonesiabrharga gabah tinggi indonesia merdeka label on gelap tani nikmat kekayaanbrmaka tikus comberan gerak provokasi order","id ke en: mahasewa dungukan id ke en: mahasewa d"
"gelab mahasewa funya akh lak","lak lak lak lak lak lak lak "
"coba demo stop transmigrasi orng jawa","terjemahkan id ke en: coba demo terjemahkan id ke en: coba demo"
"kalau mahasiswa mesti santun teliti teriak aduh kuliah anak mana yakalau dunia kampus","terjemahkan id ke en: kalau mahasiswa mesti santun terjemahkan id ke en:"
"maha sewa mamunanyanih wakil rakyat manatu","terjemahkan id ke en: maha sewa mamunanyanihyanihyanih"
"makanya demo beasiswa potong belumbelum laksana bikin ribut tolong bilang nama rakyat rakyat tau nahu demo rakyat negara tentram damai demo rakyat ngasih butuh hidup seharihari demo kerja buruh rakyat was was toko usaha buka hati guna jalan hambat lintas nya coba mikir pikir","id ke en:kan id ke en:kan id ke en:kan id"
"kalau indonesia gelap turut kalian para mahasewa mending tinggalin aja negri ini gak usah bikin rusuh di negri yang indah dan cinta yang rupa surga kecil dunia ini brkalian harus syukur bisa jadi bagi dari negri ini","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"indonesia terang benderang","terjemahkan id ke en: indonesia terang benderang terjemahkan id ke en:"
"kalian baru di bilang ndasmu kalian marah kalian kata presiden hasil pilih mayoritas rakyat dengan kata kata anjing tuek elek jancok itu boleh itu bagus turut jali para mahasewa paraaah kalianmoral kalian rusak","kan id ke en:kan id ke en:kan id ke en:kan"
"rakyat koar koar tuk rakyat ngawur","terjemahkan id ke en: rakyat ngawur terjemahkan id ke en: rakyat"
"bagi buzzer nyebut mahasewa moga hasil niat tuju mulia rakyat tindas karena perintah akn bodoh generasi bangsa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kami mayoritas rakyat gak sudi kalian wakil brmulut dan laku kalian banyak yang rusak ketika orasi dengan keluar kata kata yg kasar itu buat kami sangat gak suka dan muaaak lihat kalian","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"memang periode mahasewa beda periode 1998 mahasewa produk micin spesialisasi pinjol amp judol biaya parpol","terjemahkan id ke en: memang periode mahasewa beda periode mahasewa beda periode"
"mahasewa gelap lu","terjemahkan id ke en: mahasewa gelap lulu terjemahkan id ke"
"sekolah otak nya dungu","terjemahkan id ke en: sekolah otak nya dungu terjemahkan id ke"
"mahasiswa taeeekkkkk","kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk"
"saya masyarakat wakil maha sewa bodoh dengar programprogram perintah cocok maha tolol sampai mulut busa masyarakat dukung perintah pilih simpati","terjemahkan id ke en: saya terjemahkan id ke en: saya "
"demo tapi tdk jelas kurang info tentang masalah yang ada negeri ini","ini.................."
"kalau adab prabowo anjing","(asli) ke en: terjemahkan id ke en:  ke"
"mahasewa mata hati gelap habis gelap terbit terang habis demo terbit cair caiir","terjemahkan id ke en: mahasewa mata hatikan id ke en: maha"
"rakyat bela haiii mahasewa","haiii mahasewa haiii mahasewa haiii mahasewa "
"mahasewa bodoh"," terjemahkan id ke en: mahasewa bodoh bodoh terjemahkan id ke"
"amplop 30rb mahasewa siyap grak","terjemahkan id ke en:kan id ke en:kan id ke en:"
"tolol bikin ketawamahasewa g mutu itudemo sesat","terjemahkan id ke en: tolol bikin ketawamaha terjemahkan id"
"yang gelap itu otak mahasewa libat demo demo bayar gerak parpol luar perintah pimpin nenek lampir mega dajjal","terjemahkan id ke en: yang gelap itukan terjemahkan id ke en:"
"minta tuh dpr u ttd uu perampaaan asetgoblok kau mahasewa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"tdk bilang mahasewa yaa mahasewot","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mahaaaseewwaaaaaa hahahahaha","aaaaaaaaaaaaaaaaaaa"
"betul mahasewa pura pura tuli gelap ya mahasewa bilang mwakili rakyat rakyat","rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat"
"kau mahasewa","terjemahkan id ke en: mahasewasewasewasewa"
"demo uu ampas aset demo sekjen pdip halang sidi demo koruptor hukum ringan","demo ampas aset demo ampas aset demo ampas aset demo ampas"
"itu bahasa nis kau tukang bohong knp zaman jokowi kau ganas spt","terjemahkan id ke en: itu bahasa nis terjemahkan id ke en: itu"
"bbc yahudi","google chrome google chrome google chrome google chrom"
"justru dengan demo rakyat resah","terjemahkan id ke en: resah resah resah resah"
"yg mahasewa","sewa.com terjemahkan id ke en: mahasewasewasewa"
"anak ingus bikin rusuhbapakmu cari duit kerja keras taudema demo ndasmu","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"mahasiswa sakit jiwa",""
"kalo mahasewa ngaku","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mahasewa br40 ribu rupiah kali manggung brkalau jadi jabat gimana ya","terjemahkan id ke en:kan id ke en:kan id ke en:"
"mahasiswa calon teroris",""
"demo resah masyarakat rakyat resah gk indonesia gelap mata aja tutup otak2 gerung","aja aja terjemahkan id ke en: terjemahkan id"
"moga aja gelap","aja gak gelap :p"
"mahasewa 100knapaagenda tdk tuju tdk target tdk jelasamp tdk solusicoba jawab jk mahasiswa","terjemahkan id ke en: mahasewa 100knapaaakan"
"ajar aja mas cerdas","aja mas cerdas cerdas cerdas cerdas cerdas cerdas cerdas terjemahkan id ke en"
"klo mahasewa lawan rakyat ayoo jgn dikitquot bela rakyat bela rakyat ndasmu","terjemahkan id ke en:kan id ke en:kan id ke en:"
"udah bikin gaduh biar rakyat tenang ngapain demo2 perintah pelan2 ngeberesin langsung sedikit2 mana","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"substansi apaanntelek","terjemahkan id ke en: substansi apaanntelek terjemahkan id ke"
"mahasewa masa demo dpr kesah aset koruptor","terjemahkan id ke en: mahasewa masa demokan id ke en: maha"
"generasi sampah","terjemahkan id ke en: generasi sampah sampah terjemahkan id ke en sampah"
"bantu mahasiswa selesai negara demo demo nggak kerja yg gelap mata mumbabi buta","terjemahkan id ke en: bantu mahasiswa selesai negara demo demo demo demo demo demo demo demo"
"kalian rakyat bela jabat potong anggar presiden","terjemahkan id ke en: kalian rakyat bela jabat potong anggar presiden presiden kalian"
"mahasewa jurus demo","terjemahkan id ke en: mahasewa jurus demo terjemahkan id ke en:"
"kau presidensupaya kaji buat",""
"di gk tu langka gas lpj","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"memang cocok ganti mahasewa rakyt nama","terjemahkan id ke en:"
"kkkkkkmahasiswakalau demoya demo aja bawa nma rakyatkalian tau gadengn demo akn rakyat susah dn tnang","ke en: kkkkkkmahasiswakan id ke en: kkkkkkmahasiswa"
"indonesia terang benderang","terjemahkan id ke en: indonesia terang benderang terjemahkan id ke en:"
"baru prabowo jabat mahasiswa rebut","(dialog) terjemahkan id ke en: baru terjemahkan"
"rakyat ya aja bilang aja ngaku penting penting mahasiswa mahasiswa kuliah barang mewah indonesia anak anak kurang makan mahasiswa egois donk","terjemahkan id ke en: rakyat terjemahkan id ke en: rakyat "
"sewaingat prabowo juang rakyatkalian sabar sedikitmahasewa atas nama rakyatkalian sokong rakyat","(diterjemahkan ke en) terjemahkan id ke en: sewa "
"mahasewa bilang indonesia gelap terima nasi bungkus uang 50 perak bilang gelap kira2 uang nasi bungkusnyahaiiiiiiii sewa mahasewa tambahin uang nasi bungkus biar indonesia keliahatn terang mungkinpara mahasewa perut lapar indonesia gelapdasar mahasewa gebleg alias tolooooooooollll","id ke en:kan id ke en:kan id ke en:kan id"
"bohong aja krn hasto tahan kpk coba demo demo bsh terima","terjemahkan id ke en: terjemahkan id ke en:kankan"
"yang wawancara mahasiswa mahasiswa tua mahasiswa abadi kali alias lulus2","terjemahkan id ke en: yang wawancara mahasiswa terjemahkan id ke en: yang"
"mahasiswa nasi bungkus mata gelap","terjemahkan id ke en: mahasiswakan id ke en: mahasiswakan id ke"
"hahaha bremang sewa","bremang sewa bremang sewa"
"mahasewa mutu","terjemahkan id ke en: mahasewa mutu mutu mutu mutu mutu mutu"
"jika gelap rakyat rakyat rugi","aja................"
"ini mahasiswa dukung anis kemarin mas kecewa","aja aja terjemahkan id ke en: terjemahkan"
"ya kalian gelap antekanteknya partai merah muak","terjemahkan id ke en: ya kalian gelap muakkanteknyakan"
"belum kau demo kesah uu ampas aset koruptorbrjangan memgatasnamakan rakyat brmahasewa goblokbrayok brkenapa berani demo dpr kesah uu ampas aset koruptorbrkalau dak brberarti mahasewa antek2 koruptor","kan id ke en:kan id ke en:kan id ke en:kan"
"sok pintarasli mahasewa","sok pintarasli mahasewa mahasewa mahasewa "
"rakyat dukung mahasewabiar kasih beasiswa","dukung mahasewabiar kasih beasiswabiar kasih beasiswabiar kasih beasiswabiar"
"mana maling aku malingyg gelap ndassmu","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"hidup mahasewa","terjemahkan id ke en: hidup mahasewawawawawawawa"
"baru jd mahasiswa udah demo demo mahasiswa cerdas tp bodohhhh","..................."
"isu opoemang segitu aja harga diri d sewa mahasewa","terjemahkan id ke en: isu opoemang  terjemahkan id ke en"
"bagi demo ndak bawa bawa nama rakyat mayoritas rakyat wakil","rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat"
"kami sdah bosan denger bawa rakyt pdhl demo hnya org pejbt korup masyrkt skrng bodoh tau mna bohong mna slalu jual nama rkyt dsr mhasewa","terjemahkan id ke en: kan id ke en:kan id ke en"
"kalian bocil ngerti arti hidup lingkung kampus lapang beda bos dasar bocil","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mahasewa oh mahasewa bikin ricuh","mahasewa mahasewa terjemahkan id ke en: mahasewakan"
"kalo generasi muda kayak gin gelap era pimpin malu kali demo mahasewa uber uber rakyat caci maki","terjemahkan id ke en:  terjemahkan id ke en: terjemah"
"halah halah demomurni krn ajakn anggota dewan napitulu lihat mna pangkas biaya pendidikn srimulyani prabowo bilang pangkas pendidikn"," terjemahkan id ke en: halah halah terjemahkan id ke"
"rakyat cuman mahasiswa coyybruntung rugi kalo demo rusuh sapa rugi mahasiswa doang","terjemahkan id ke en: rakyat cuman mahasiswa terjemahkan id ke en:"
"saya rakyat brdan sy suka perintah sekarangbrjgn suka bawa bawa rakyat mahasewa","terjemahkan id ke en: rakyat brdan terjemahkan id ke en: rakyat br"
"jangan salah rakyat rakyat tindak",""
"rakyat ajar mahasiswa waras peduli rakyat utk demo dpr uu ampas aset koruptor sahkan","aja aja aja aja aja "
"mahasewa ngising apresiasi ngomong aja susah nyusahin org kerja","aja sih aja sih terjemahkan id ke en:"
"mahasewa",".com terjemahkan id ke en: mahasewasewasewase"
"mahasewa ngaku realitanya mahasewa latih munafik","mahasewa mahasewa terjemahkan id ke en: mahasewa "
"bagaimana mahasiswa demo syah ampas aset koruptor rugi rakyat mbg perhati rakyat bilang anti korupsi tp demo dpr syah aset","terjemahkan id ke en: bagaimana mahasiswa demo syah ampas aset koruptor rugi"
"baru ber benah2 udah tuntut 13 tuntut anak pinter goblog2 salah makan obat nih tahu anak jabat tuntut pemangkasan2 takut bayar kuliahgitu utk bantu rakyatrakyat suara rakyat","terjemahkan id ke en: baru ber benah2kan id ke en:"
"jangan sok bela menang menang blm fikiran mahasiswa dr rakyat hidup mahasiswa sopan amp santum","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"titip aspirasi pd mahasiswa semangat sehatmantaf","ajarkan mahasiswa untuk tidak menjadi mahasiswamantaf  terjemahkan"
"itu orang liar","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kalau mahasewa nama mahasiswa 1 berani demo tuntut dpr sahkan uu ampas aset koruptor hukum mati koruptor sah uu ampas aset koruptor wakil rakyat nkri mahasewanya bilang demo wakil rakyat ya rakyat","terjemahkan id ke en:kan id ke en:kan id ke en:"
"memang mahasewa bkn wakil rakyat klw gk contoh gk","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"yaudah kalo bayar gaung donk ampas aset koruptor bukti skrg mahasewa diamdiam uu ampas aset udahlah mahasewa jgn asa jd pahlawan kalo ngga becus jd mahasiswa","terjemahkan id ke en::kan id ke en:kan id ke"
"mahasewa paling dungu dunia","terjemahkan id ke en: mahasewa paling dungu dunia dunia terjemahkan"
"dikitquot rakyat makasar bentrok dg rakyat lucuu","aja sih....... terjemahkan id ke en"
"anak mahasiswa melu demo gecekbrapa malu oemerintah ngasih beasiswa ngadih bidik misi bantu oemerintah tau","terjemahkan id ke en:kan id ke en:kan id ke en:"
"gelap apa rakyat indonesia gelap","gelap apa rakyat indonesia gelap apa rakyat indonesia gelap apa rakyat indonesia gelap gelap apa rakyat indonesia gelap"
"kamu tau pangkas mahasiwa inienggak tau berita kasi deh","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"kau kog tua mahasiswa ragu liat","id ke en: id ke en:kan id ke en:kan id ke"
"mahasewa bodoh goblok alas ngaku intelek pikir bertinda pintar anak smp bawa rakyat ngerti antek pki","terjemahkan id ke en: mahasewa bodoh goblok goblokkan id ke"
"mahasewa tu lbih hinah dri pd anjing sok2 belah rkyt rkyt mna klian wkili sya orng desa muak liht klian sok suci pdhl kcung prtai","terjemahkan id ke en: mahasewakan id ke en: mahasewa"
"maha siswa demon penuh bayar propokator hati nurani","terjemahkan id ke en: maha siswa demon penuh bayar hati nurani hati"
"mati mahsewa hidup rakyat","rakyat hidup rakyat hidup rakyat hidup rakyat hidup rakyat hidup rakyat hidup rakyat hidup rakyat hidup rakyat hidup rakyat"
"bisa nuntut",""
"melas tua luruh duwit kuh suruh kuliah bener","terjemahkan id ke en: melas tua luruh duwit terjemahkan id"
"waktu miskin para koruptor mahasiswa diam saja","terjemahkan id ke en: waktu miskin para koruptor mahasiswa diam saja terjemahkan"
"hahahaha ketawa bae","ae :D :D  :D bae"
"kalian demo anak kuliah sdh pintartp otak msh beli murah","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"kalian mahasiswa sok tau sok pintar biaya ngak gaya gaya sy anti demo sila data perintah anti kritik narasi adil jokowi emang salah mantan persiden cari bukti ya salah korupsi jokowi adu kpk jaksa mahasiswa sumber isu isu ngak valid salah dikatain mahasewa masyarakat demo wakil suara rakyat","kan id ke en:kan id ke en:kan id ke en:kan"
"kalian tuh teriak2 doang","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"maha sewa kenyang suap partai benci perintah","terjemahkan id ke en:kan id ke en:kan id ke en:"
"quottolong direspon substansi isunyaquot situ cari fakta isu","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mahasiswa ko jd mahasewa mahamerusak pake bakarquotan","terjemahkan id ke en: mahasiswa terjemahkan id ke en: mahasiswa "
"coba ketua bem angkat menteri coba dia",""
"rakyat byk dukung perintah mahasiswa bikin gaduh indonesia gelap mada anggar didik pangkas tabayun resah2 blm jelas bikin gaduh","terjemahkan id ke en: rakyat byk dukung perintah mahasiswa bikin gaduh indonesia gelap"
"jangan bawa bawa nama rakyat indonesia","(asli) ke en: jangan bawa bawa nama rakyat indonesia indonesia indonesia indonesia"
"coba bukti viralkan beasiswa dll pangkas",""
"mahasewa gelap rakyat miskin negara bagus rakyat sepakat dng masewa keluarga jala macet sulit","terjemahkan id ke en: mahasewa gelapkan id ke en: mahase"
"berat mahasiswa musuh rakyat","(asli) ke en: terjemahkan id ke en: "
"yg gelap mata kaliyan bikin citra bangsa jelek dampak buruk bijak juga perintah kerja udah demo giji gerat anak sd sampe sma demo maha siswa cirta bobrok pendahu","terjemahkan id ke en:kan id ke en:kan id ke en:"
"jangan sok pintar kalau cerdas komunikasi langsung perintah pasti wadah nya gelap matahatimu harga orang tua","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"mantap mahasewa","terjemahkan id ke en: mantap mahasewa terjemahkan id ke en:"
"mo bawa jemana akhlak","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
